title,company,location,job_type,skills,date_posted
Site Engineer,On-site,"New Cairo, Cairo, Egypt","New Cairo, Cairo, Egypt","New Cairo, Cairo, Egypt, Full Time, On-site, · 3 - 7 Yrs of Exp","New Cairo, Cairo, Egypt"
Art Teacher - Steamulation Hub Pre school -El-Sheikh Zayed City,Part Time,"6th of October, Giza, Egypt","6th of October, Giza, Egypt","6th of October, Giza, Egypt, Full Time, Part Time, On-site, · 1 - 3 Yrs of Exp, · females_only","6th of October, Giza, Egypt"
Senior Site Mechanical Engineer,On-site,"Hurghada, Red Sea, Egypt","Hurghada, Red Sea, Egypt","Hurghada, Red Sea, Egypt, Full Time, On-site, · 3 - 7 Yrs of Exp, · males_only","Hurghada, Red Sea, Egypt"
HSE Engineer,On-site,"10th of Ramadan City, Sharqia, Egypt","10th of Ramadan City, Sharqia, Egypt","10th of Ramadan City, Sharqia, Egypt, Full Time, On-site, · 3 - 7 Yrs of Exp, · males_preferred","10th of Ramadan City, Sharqia, Egypt"
HR Specialist,On-site,"10th of Ramadan City, Cairo, Egypt","10th of Ramadan City, Cairo, Egypt","10th of Ramadan City, Cairo, Egypt, Full Time, On-site, · 3+ Yrs of Exp","10th of Ramadan City, Cairo, Egypt"
Maintenance Manager,On-site,"Nasr City, Cairo, Egypt","Nasr City, Cairo, Egypt","Nasr City, Cairo, Egypt, Full Time, On-site, · 8 - 10 Yrs of Exp","Nasr City, Cairo, Egypt"
Human Resources Supervisor,On-site,"New Cairo, Cairo, Egypt","New Cairo, Cairo, Egypt","New Cairo, Cairo, Egypt, Full Time, On-site, · 3 - 7 Yrs of Exp","New Cairo, Cairo, Egypt"
Farm Operations Manager (Ghana),On-site,"Accra, Ghana","Accra, Ghana","Accra, Ghana, Full Time, On-site, · 10+ Yrs of Exp","Accra, Ghana"
Customer Service Lead,On-site,"Alexandria, Egypt","Alexandria, Egypt","Alexandria, Egypt, Full Time, On-site, · 2 - 4 Yrs of Exp","Alexandria, Egypt"
Sales Representative Consultant,Remote,"Maadi, Cairo, Egypt","Maadi, Cairo, Egypt","Maadi, Cairo, Egypt, Full Time, Remote, · 1 - 3 Yrs of Exp","Maadi, Cairo, Egypt"
Office Engineer,On-site,"New Cairo, Cairo, Egypt","New Cairo, Cairo, Egypt","New Cairo, Cairo, Egypt, Full Time, On-site, · 1 - 3 Yrs of Exp","New Cairo, Cairo, Egypt"
